Measurement,Experiment,CellType,Direction,Time,Score
LDLR-ABLATION,E1909,WT,ABL,0,2.82
LDLR-ABLATION,E1909,WT,ABL,5,11.37
LDLR-ABLATION,E1909,WT,ABL,10,9.03
LDLR-ABLATION,E1909,WT,ABL,20,28.27
LDLR-ABLATION,E1909,WT,ABL,30,42.86
LDLR-ABLATION,E1909,A-KD,ABL,0,6.99
LDLR-ABLATION,E1909,A-KD,ABL,5,22.01
LDLR-ABLATION,E1909,A-KD,ABL,10,48.13
LDLR-ABLATION,E1909,A-KD,ABL,20,64.67
LDLR-ABLATION,E1909,A-KD,ABL,30,63.54
LDLR-ABLATION,E1915,WT,ABL,0,11.75
LDLR-ABLATION,E1915,WT,ABL,5,11.17
LDLR-ABLATION,E1915,WT,ABL,10,34.77
LDLR-ABLATION,E1915,WT,ABL,20,30.97
LDLR-ABLATION,E1915,WT,ABL,30,34.15
LDLR-ABLATION,E1915,A-KD,ABL,0,35.01
LDLR-ABLATION,E1915,A-KD,ABL,5,32.56
LDLR-ABLATION,E1915,A-KD,ABL,10,48.79
LDLR-ABLATION,E1915,A-KD,ABL,20,57.20
LDLR-ABLATION,E1915,A-KD,ABL,30,53.63
LDLR-ABLATION,E1921,WT,ABL,0,6.63
LDLR-ABLATION,E1921,WT,ABL,5,17.79
LDLR-ABLATION,E1921,WT,ABL,10,19.05
LDLR-ABLATION,E1921,WT,ABL,20,42.41
LDLR-ABLATION,E1921,WT,ABL,30,35.12
LDLR-ABLATION,E1921,A-KD,ABL,0,35.87
LDLR-ABLATION,E1921,A-KD,ABL,5,39.21
LDLR-ABLATION,E1921,A-KD,ABL,10,43.77
LDLR-ABLATION,E1921,A-KD,ABL,20,55.66
LDLR-ABLATION,E1921,A-KD,ABL,30,48.33
TfR-ABLATION,E1909,WT,ABL,0,0.56
TfR-ABLATION,E1909,WT,ABL,5,16.52
TfR-ABLATION,E1909,WT,ABL,10,13.62
TfR-ABLATION,E1909,WT,ABL,20,32.45
TfR-ABLATION,E1909,WT,ABL,30,39.92
TfR-ABLATION,E1909,A-KD,ABL,0,26.06
TfR-ABLATION,E1909,A-KD,ABL,5,36.73
TfR-ABLATION,E1909,A-KD,ABL,10,50.62
TfR-ABLATION,E1909,A-KD,ABL,20,72.03
TfR-ABLATION,E1909,A-KD,ABL,30,69.31
TfR-ABLATION,E1915,WT,ABL,0,20.32
TfR-ABLATION,E1915,WT,ABL,5,22.47
TfR-ABLATION,E1915,WT,ABL,10,35.24
TfR-ABLATION,E1915,WT,ABL,20,35.27
TfR-ABLATION,E1915,WT,ABL,30,46.02
TfR-ABLATION,E1915,A-KD,ABL,0,57.22
TfR-ABLATION,E1915,A-KD,ABL,5,54.65
TfR-ABLATION,E1915,A-KD,ABL,10,52.53
TfR-ABLATION,E1915,A-KD,ABL,20,61.81
TfR-ABLATION,E1915,A-KD,ABL,30,67.92
TfR-ABLATION,E1921,WT,ABL,0,0.32
TfR-ABLATION,E1921,WT,ABL,5,20.46
TfR-ABLATION,E1921,WT,ABL,10,25.91
TfR-ABLATION,E1921,WT,ABL,20,49.50
TfR-ABLATION,E1921,WT,ABL,30,55.11
TfR-ABLATION,E1921,A-KD,ABL,0,25.45
TfR-ABLATION,E1921,A-KD,ABL,5,53.36
TfR-ABLATION,E1921,A-KD,ABL,10,53.58
TfR-ABLATION,E1921,A-KD,ABL,20,64.67
TfR-ABLATION,E1921,A-KD,ABL,30,61.01
